Marca temporal,Modalidad educativa a la que perteneces: ,¿Cuántos teléfonos celulares has tenido a lo largo de tu vida?,"   ¿Cuántos dispositivos electrónicos recargables tienes actualmente en casa?  (celulares, computadoras, tabletas, audífonos, relojes inteligentes, etc.)",   ¿Cuántos dispositivos electrónicos utilizas diariamente?  ,¿Cada cuánto tiempo cambias tu teléfono celular principal?,  ¿Cuántos aparatos electrónicos descompuestos conservas actualmente en tu hogar?  ,"Cuando un dispositivo electrónico deja de funcionar, ¿Qué haces habitualmente con él? (puedes seleccionar varias opciones)",  ¿Cuántos aparatos electrónicos has desechado durante los últimos dos años?  ,¿Has tirado alguna vez un aparato electrónico junto con la basura doméstica?,¿Has reparado algún dispositivo electrónico para prolongar su vida útil?,¿Qué tipo de aparato acumulas con mayor frecuencia?,¿Sabes qué daños puede causar al medio ambiente desechar incorrectamente un aparato electrónico?,  ¿Sabes dónde reciclar aparatos electrónicos en Xalapa?  ,"¿Conoces el término ""residuos electrónicos"" o ""e-waste""?","  ¿Sabías que algunos dispositivos contienen metales pesados como plomo, mercurio o cadmio?  ",¿Has recibido información sobre reciclaje electrónico en la escuela?,  ¿Cuál es la principal razón por la que no reciclas tus aparatos electrónicos?  ,  ¿Has participado anteriormente en campañas de reciclaje electrónico?  ,"  Si tu escuela organizara una campaña de acopio, ¿participarías?  ",¿Qué te motivaría más a participar en una campaña escolar de reciclaje?,¿Consideras que la escuela debería realizar campañas permanentes de recolección de residuos electrónicos?
29/6/2026 16:35:16,Bachillerato General,1 a 3,1 a 3,1 a 2,Más de 4 años,1 a 2,Lo guardo en casa,1 a 2,No,Frecuentemente,Cargadores y cables,Tengo una idea general,No conozco ninguno,No,Sí,Sí,Falta de tiempo,No,No estoy seguro(a),Obtener información,De acuerdo
29/6/2026 16:39:38,Educación básica (primaria o secundaria),1 a 3,1 a 3,3 a 4,Más de 4 años,1 a 2,"Lo guardo en casa, Lo regalo o vendo",1 a 2,No recuerdo,Algunas veces,Cargadores y cables,"Sí, claramente",No conozco ninguno,Lo he escuchado,Sí,Sí,No sabía dónde hacerlo,No,No estoy seguro(a),Ayudar al medio ambiente,De acuerdo
29/6/2026 16:40:49,Bachillerato General,1 a 3,4 a 6,1 a 2,Entre 1 y 2 años,Más de 5,Lo guardo en casa,Ninguno,No,Frecuentemente,Cargadores y cables,Tengo una idea general,No conozco ninguno,No,Sí,No,Sí reciclo,No,No estoy seguro(a),Reconocimiento o incentivo,De acuerdo
29/6/2026 16:42:39,Bachillerato General,1 a 3,5 a 9,3 a 4,Más de 4 años,3 a 5,Lo guardo en casa,1 a 2,No recuerdo,Nunca,Celulares,Tengo una idea general,No conozco ninguno,No,No,No,No sabía dónde hacerlo,No,Definitivamente sí,Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 16:44:24,Bachillerato General,1 a 3,5 a 9,1 a 2,Más de 4 años,Ninguno,Lo guardo en casa,Ninguno,No,Rara vez,Celulares,"Sí, claramente","He escuchado de lugares, pero no sé dónde",Lo he escuchado,Sí,Sí,Sí reciclo,Sí,No estoy seguro(a),Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 16:46:17,Bachillerato General,1 a 3,10 o Mas,1 a 2,Más de 4 años,Más de 5,Lo guardo en casa,1 a 2,No recuerdo,Frecuentemente,Cargadores y cables,Tengo una idea general,"Sí, conozco un lugar",Lo he escuchado,Sí,No lo recuerdo,Falta de tiempo,No,Definitivamente sí,Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 16:48:44,Bachillerato General,1 a 3,5 a 9,3 a 4,Entre 3 y 4 años,1 a 2,"Lo guardo en casa, Lo regalo o vendo",1 a 2,Sí,Algunas veces,Cargadores y cables,Tengo una idea general,No conozco ninguno,No,Sí,No,No le había dado importancia,No,No estoy seguro(a),Ayudar al medio ambiente,De acuerdo
29/6/2026 16:50:22,Bachillerato General,1 a 3,4 a 6,1 a 2,Más de 4 años,1 a 2,"Lo regalo o vendo, Lo mando a arreglar ",Ninguno,No recuerdo,Frecuentemente,Celulares,Tengo una idea general,No conozco ninguno,No,Sí,No lo recuerdo,No le había dado importancia,No,No estoy seguro(a),Ayudar al medio ambiente,De acuerdo
29/6/2026 16:50:55,Educación superior,4 a 6,1 a 3,1 a 2,Más de 4 años,1 a 2,"Lo guardo en casa, Lo llevo a reciclar, Lo compone mi papá ",1 a 2,Sí,Algunas veces,Cargadores y cables,"Sí, claramente","He escuchado de lugares, pero no sé dónde",Lo he escuchado,Sí,Sí,Sí reciclo,Sí,Definitivamente sí,Ayudar al medio ambiente,De acuerdo
29/6/2026 16:53:25,Bachillerato General,1 a 3,5 a 9,3 a 4,Entre 1 y 2 años,1 a 2,"Lo guardo en casa, Lo regalo o vendo, Lo tiro a la basura doméstica, Lo mando a componer",Ninguno,No recuerdo,Frecuentemente,Cargadores y cables,"Sí, claramente","Sí, conozco un lugar",Lo he escuchado,Sí,No,Falta de tiempo,No,No estoy seguro(a),Obtener información,De acuerdo
29/6/2026 16:54:40,Bachillerato Tecnológico/Técnico,1 a 3,5 a 9,1 a 2,Más de 4 años,3 a 5,Lo guardo en casa,1 a 2,No,Algunas veces,Baterías,"Sí, claramente","He escuchado de lugares, pero no sé dónde",No,Sí,No lo recuerdo,Los reparo o reciclo sus piezas ,No,No estoy seguro(a),Obtener información,De acuerdo
29/6/2026 16:57:54,Educación superior,4 a 6,5 a 9,3 a 4,Entre 1 y 2 años,Más de 5,Lo guardo en casa,3 a 5,Sí,Algunas veces,Celulares,Tengo una idea general,No conozco ninguno,Lo he escuchado,Sí,No,Falta de tiempo,No,Probablemente no,Reconocimiento o incentivo,Indiferente
29/6/2026 17:03:13,Bachillerato General,1 a 3,4 a 6,1 a 2,Más de 4 años,1 a 2,"Lo guardo en casa, Lo llevo a reciclar",Ninguno,No,Algunas veces,Celulares,Tengo una idea general,No conozco ninguno,No,Sí,No,Falta de tiempo,No,No estoy seguro(a),Obtener información,De acuerdo
29/6/2026 17:04:32,Bachillerato Tecnológico/Técnico,4 a 6,4 a 6,1 a 2,Entre 3 y 4 años,1 a 2,"Lo guardo en casa, Lo llevo a reciclar",Ninguno,No,Rara vez,Celulares,"Sí, claramente","He escuchado de lugares, pero no sé dónde",Sí,Sí,Sí,Sí reciclo,No,Definitivamente sí,Obtener información,De acuerdo
29/6/2026 17:19:39,Bachillerato General,1 a 3,5 a 9,1 a 2,Entre 1 y 2 años,1 a 2,Lo guardo en casa,1 a 2,No,Nunca,Cargadores y cables,"Sí, claramente","Sí, conozco un lugar",Sí,Sí,No,Sí reciclo,No,No estoy seguro(a),Participación de amigos o familiares,Totalmente de acuerdo
29/6/2026 17:32:07,Bachillerato General,4 a 6,5 a 9,1 a 2,Entre 3 y 4 años,1 a 2,Lo guardo en casa,Ninguno,No,Algunas veces,Celulares,"Sí, claramente",No conozco ninguno,No,Sí,No lo recuerdo,No le había dado importancia,No,Definitivamente sí,Ayudar al medio ambiente,De acuerdo
29/6/2026 17:38:41,Bachillerato mixto ,1 a 3,10 o Mas,3 a 4,Entre 3 y 4 años,3 a 5,"Lo guardo en casa, Lo intento arreglar ",3 a 5,No recuerdo,Algunas veces,Cargadores y cables,Tengo una idea general,"He escuchado de lugares, pero no sé dónde",Lo he escuchado,Sí,No lo recuerdo,Falta de tiempo,No,No estoy seguro(a),Reconocimiento o incentivo,De acuerdo
29/6/2026 17:43:33,Bachillerato Tecnológico/Técnico,4 a 6,4 a 6,3 a 4,Entre 1 y 2 años,1 a 2,"Lo guardo en casa, Lo tiro a la basura doméstica",3 a 5,No,Nunca,Computadoras,Tengo una idea general,"He escuchado de lugares, pero no sé dónde",Lo he escuchado,No,No lo recuerdo,Considero que es complicado,Sí,Probablemente no,Facilidad del proceso,De acuerdo
29/6/2026 17:47:41,Bachillerato Tecnológico/Técnico,4 a 6,1 a 3,3 a 4,Entre 3 y 4 años,3 a 5,"Lo guardo en casa, Lo llevo a reciclar",1 a 2,No,Algunas veces,Cargadores y cables,"Sí, claramente",No conozco ninguno,Sí,Sí,No,No sabía dónde hacerlo,No,Probablemente no,Facilidad del proceso,De acuerdo
29/6/2026 17:48:26,Bachillerato General,1 a 3,5 a 9,1 a 2,Más de 4 años,Más de 5,"Lo guardo en casa, Lo regalo o vendo, Lo tiro a la basura doméstica",1 a 2,No recuerdo,Rara vez,Cargadores y cables,No lo sabía,No conozco ninguno,Lo he escuchado,Sí,No,No le había dado importancia,No,Probablemente no,Ayudar al medio ambiente,De acuerdo
29/6/2026 17:51:20,Bachillerato General,1 a 3,5 a 9,1 a 2,Entre 3 y 4 años,Ninguno,Lo guardo en casa,1 a 2,No,Rara vez,Cargadores y cables,"Sí, claramente",No conozco ninguno,No,Sí,Sí,No le había dado importancia,No,No estoy seguro(a),Reconocimiento o incentivo,Indiferente
29/6/2026 18:06:47,Bachillerato General,1 a 3,10 o Mas,3 a 4,Entre 3 y 4 años,3 a 5,Lo guardo en casa,3 a 5,No recuerdo,Frecuentemente,Celulares,Tengo una idea general,"He escuchado de lugares, pero no sé dónde",Sí,No,No,Falta de tiempo,Sí,Probablemente no,Obtener información,Totalmente de acuerdo
29/6/2026 18:07:14,Educación superior,1 a 3,4 a 6,3 a 4,Entre 3 y 4 años,3 a 5,Lo guardo en casa,1 a 2,No,Rara vez,Cargadores y cables,Tengo una idea general,No conozco ninguno,Sí,Sí,No,Falta de tiempo,No,Definitivamente sí,Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 18:32:40,Bachillerato General,1 a 3,1 a 3,1 a 2,Más de 4 años,Ninguno,Lo regalo o vendo,1 a 2,No,Algunas veces,Cargadores y cables,"Sí, claramente",No conozco ninguno,No,No,No,No le había dado importancia,No,No estoy seguro(a),Ayudar al medio ambiente,De acuerdo
29/6/2026 18:33:04,Bachillerato General,1 a 3,10 o Mas,3 a 4,Entre 3 y 4 años,1 a 2,Lo tiro a la basura doméstica,1 a 2,Sí,Algunas veces,Cargadores y cables,"Sí, claramente","He escuchado de lugares, pero no sé dónde",Sí,Sí,Sí,No sabía dónde hacerlo,No,No estoy seguro(a),Ayudar al medio ambiente,Indiferente
29/6/2026 18:33:32,Bachillerato General,1 a 3,1 a 3,1 a 2,Menos de un año,Ninguno,Lo guardo en casa,Ninguno,Sí,Frecuentemente,Celulares,"Sí, claramente","Sí, conozco un lugar",Sí,Sí,Sí,No sabía dónde hacerlo,Sí,Definitivamente sí,Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 18:36:06,Bachillerato General,7 a 9,4 a 6,3 a 4,Entre 1 y 2 años,Más de 5,Lo guardo en casa,3 a 5,No recuerdo,Algunas veces,Cargadores y cables,Tengo una idea general,No conozco ninguno,No,Sí,Sí,No le había dado importancia,No,Probablemente no,Participación de amigos o familiares,De acuerdo
29/6/2026 18:38:34,Bachillerato General,1 a 3,10 o Mas,3 a 4,Entre 1 y 2 años,3 a 5,Lo guardo en casa,1 a 2,No recuerdo,Frecuentemente,Celulares,Tengo una idea general,No conozco ninguno,No,Sí,No,No sabía dónde hacerlo,No,Definitivamente sí,Obtener información,De acuerdo
29/6/2026 18:44:47,Bachillerato Tecnológico/Técnico,1 a 3,4 a 6,1 a 2,Menos de un año,3 a 5,Lo guardo en casa,1 a 2,No,Frecuentemente,Cargadores y cables,Tengo una idea general,No conozco ninguno,Sí,Sí,Sí,No le había dado importancia,Sí,Definitivamente no,Obtener información,Totalmente de acuerdo
29/6/2026 18:45:43,Educación superior,1 a 3,1 a 3,1 a 2,Entre 3 y 4 años,1 a 2,Lo guardo en casa,1 a 2,No recuerdo,Rara vez,Audífonos,Tengo una idea general,"He escuchado de lugares, pero no sé dónde",Lo he escuchado,Sí,No lo recuerdo,Falta de tiempo,No,No estoy seguro(a),Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 20:06:42,Bachillerato General,1 a 3,4 a 6,3 a 4,Más de 4 años,3 a 5,Lo regalo o vendo,1 a 2,No recuerdo,Algunas veces,Cargadores y cables,Tengo una idea general,No conozco ninguno,No,Sí,No,No le había dado importancia,No,No estoy seguro(a),Obtener información,Totalmente de acuerdo
29/6/2026 20:16:55,Bachillerato General,1 a 3,1 a 3,1 a 2,Más de 4 años,Más de 5,Lo guardo en casa,Ninguno,No,Algunas veces,Cargadores y cables,"Sí, claramente","He escuchado de lugares, pero no sé dónde",No,Sí,Sí,Falta de tiempo,No,No estoy seguro(a),Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 20:19:15,Bachillerato Tecnológico/Técnico,7 a 9,4 a 6,3 a 4,Entre 3 y 4 años,1 a 2,Lo guardo en casa,Ninguno,No,Algunas veces,Audífonos,"Sí, claramente",No conozco ninguno,Lo he escuchado,No,No,No sabía dónde hacerlo,No,Definitivamente sí,Ayudar al medio ambiente,Totalmente de acuerdo
29/6/2026 20:22:14,Educación básica (primaria o secundaria),1 a 3,10 o Mas,1 a 2,Entre 3 y 4 años,1 a 2,Lo guardo en casa,1 a 2,No recuerdo,Rara vez,Audífonos,Tengo una idea general,"He escuchado de lugares, pero no sé dónde",Lo he escuchado,Sí,Sí,No sabía dónde hacerlo,No,No estoy seguro(a),Facilidad del proceso,De acuerdo
29/6/2026 21:00:14,Bachillerato General,1 a 3,4 a 6,3 a 4,Entre 1 y 2 años,1 a 2,Lo regalo o vendo,1 a 2,No,Frecuentemente,Computadoras,Tengo una idea general,"He escuchado de lugares, pero no sé dónde",Lo he escuchado,Sí,No,No le había dado importancia,No,No estoy seguro(a),Obtener información,De acuerdo
29/6/2026 21:17:35,Bachillerato Tecnológico/Técnico,1 a 3,1 a 3,1 a 2,Más de 4 años,1 a 2,"Lo guardo en casa, Lo llevo a reciclar",1 a 2,No,Rara vez,Cargadores y cables,Tengo una idea general,No conozco ninguno,No,No,No,No sabía dónde hacerlo,No,Definitivamente no,Ayudar al medio ambiente,Totalmente de acuerdo